text,category,tags,priority
El servicio técnico no ha resuelto el problema bajo garantía,Reclamo,garantía|soporte técnico,alta
Me llegó una factura con un monto mucho mayor al habitual,Reclamo,facturación,media
El soporte remoto no funcionó y perdí tiempo de trabajo,Queja,soporte técnico,media
Quiero conocer los beneficios del plan premium,Petición,información|planes,baja
Necesito saber los requisitos para acceder al plan empresarial,Petición,información|planes,baja
Quiero reclamar que me vendieron un plan diferente al que me explicaron,Reclamo,contrato|información,media
Agradecería que me necesito el nit de la empresa para mis registros contables,Petición,documentación,baja
Los tiempos de espera en el call center son excesivos,Queja,atención,media
Me aplicaron un descuento incorrecto en mi factura,Reclamo,facturación,media
Necesito exportar el historial completo de transacciones,Petición,documentación|facturación,media
El precio cobrado no corresponde al que aparece en el contrato,Reclamo,facturación|contrato,alta
Quiero manifestar mi inconformidad ya que el módulo de reportes no genera los archivos correctamente,Queja,soporte técnico|aplicación,media
Solicito el cambio de mi plan actual a uno de mayor capacidad,Petición,planes|cambio,media
Es inaceptable que llevan tres meses sin devolverme el dinero que prometieron,Reclamo,reembolso,crítica
Quiero contratar el plan empresarial para mi empresa,Petición,planes|contrato,media
Requiero que quisiera recibir capacitación sobre el uso de la plataforma,Petición,capacitación,baja
Es inadmisible que no puedo descargar el comprobante de pago desde la plataforma,Queja,soporte técnico|aplicación,media
Mi pedido lleva 15 días y no ha llegado a mi dirección,Reclamo,entrega,alta
Quiero recibir alertas por correo de cada movimiento en mi cuenta,Petición,cuenta|servicio,baja
Necesito suspender temporalmente el servicio por un mes,Petición,cancelación|servicio,media
Necesito copia de mi contrato firmado,Petición,documentación|contrato,baja
Llevo esperando mi pedido más de tres semanas sin respuesta,Reclamo,entrega,alta
Por favor necesito que solicito cambio del correo principal asociado a mi cuenta,Petición,cuenta,baja
El cobro de este mes es incorrecto y exijo corrección inmediata,Reclamo,facturación|cobro,alta
Quiero reclamar que recibí un producto de menor calidad al que aparece en la web,Reclamo,producto,media
Quisiera información sobre descuentos por pago anual,Petición,información|facturación,baja
Solicito el reembolso del cobro duplicado que me realizaron,Reclamo,reembolso|facturación,alta
Me quejo porque el servicio de internet contratado tiene velocidades muy bajas,Queja,servicio,media
Requiero que solicito integración con el sistema contable de mi empresa,Petición,soporte técnico|servicio,media
Quiero reclamar que realizaron un cobro no autorizado a mi tarjeta de crédito,Reclamo,facturación|cobro,alta
El servicio estuvo caído todo el fin de semana sin aviso,Queja,servicio|atención,alta
Agradecería que me solicito la certificación de servicios para licitación,Petición,documentación,media
"Es una estafa, me cobran por servicios que nunca activan",Reclamo,facturación|fraude,crítica
Es inadmisible que mi contraseña no funciona aunque la cambié recientemente,Queja,acceso,media
El paquete llegó abierto y con el contenido incompleto,Reclamo,entrega|producto,alta
El producto que compré no funciona como se describe en la publicidad,Queja,producto,media
Me quejo porque me informaron mal sobre los requisitos del trámite,Queja,atención|información,media
La plataforma está caída y no puedo realizar mis operaciones,Queja,soporte técnico|aplicación,crítica
Llevo tres semanas sin servicio y nadie me da solución,Queja,servicio|atención,crítica
Es inaceptable que el reembolso prometido nunca se realizó en mi cuenta,Reclamo,reembolso,crítica
Por favor necesito que necesito un estado de cuenta actualizado para trámite bancario,Petición,documentación|facturación,media
Solicito la activación del servicio adicional de almacenamiento,Petición,activación|servicio,media
Requiero que solicito el envío de mis facturas en formato electrónico,Petición,facturación,baja
El producto llegó dañado y quiero que me lo reemplacen,Reclamo,entrega|producto,alta
Presento reclamo porque pagué el servicio pero sigue apareciendo como deuda pendiente,Reclamo,facturación|pago,alta
Me prometieron una llamada de seguimiento y nunca me llamaron,Queja,atención,baja
Quiero reclamar que el equipo dejó de funcionar a los dos meses de comprarlo,Reclamo,garantía|producto,alta
El equipo presentó fallas a los tres días y no responden,Reclamo,garantía|producto,alta
Necesito el NIT de la empresa para mis registros contables,Petición,documentación,baja
Llevo una semana con el ticket abierto sin solución,Queja,soporte técnico|atención,alta
Me quejo porque el técnico que vino no resolvió el problema de instalación,Queja,soporte técnico|instalación,media
Quiero manifestar mi inconformidad ya que la app móvil se cierra sola cada vez que la abro,Queja,soporte técnico|aplicación,media
Quiero manifestar mi inconformidad ya que me cambiaron el plan sin consultarme ni avisarme,Queja,planes|contrato,alta
Es inadmisible que el producto que compré no funciona como se describe en la publicidad,Queja,producto,media
Agradecería que me deseo cancelar mi suscripción al servicio mensual,Petición,cancelación,media
Es inadmisible que nunca me enviaron el comprobante de pago a mi correo,Queja,facturación|atención,baja
Necesito agregar una línea adicional a mi cuenta corporativa,Petición,cuenta|servicio,media
Requiero que necesito agregar una línea adicional a mi cuenta corporativa,Petición,cuenta|servicio,media
La señal se cae constantemente durante el día,Queja,servicio,alta
Necesito habilitar el acceso a la API para integración,Petición,soporte técnico|servicio,media
Nunca me enviaron el comprobante de pago a mi correo,Queja,facturación|atención,baja
Quiero terminar el contrato al finalizar el período vigente,Petición,cancelación|contrato,baja
Solicito la renovación anticipada de mi contrato,Petición,contrato,media
El tiempo de respuesta es inaceptablemente largo,Queja,atención,media
Perdí información importante por un error del sistema,Queja,soporte técnico|seguridad,crítica
Me informaron mal sobre los requisitos del trámite,Queja,atención|información,media
Necesito información sobre las políticas de cancelación,Petición,información|cancelación,baja
El agente de soporte no supo resolver mi problema,Queja,soporte técnico|atención,media
Solicito el envío de mis facturas en formato electrónico,Petición,facturación,baja
Es inadmisible que el equipo se dañó a los pocos días de uso normal,Queja,producto,alta
Es inaceptable que mi pedido fue entregado a otra persona por error,Reclamo,entrega,alta
Me pueden indicar los pasos para realizar una portabilidad,Petición,información,baja
Llevan tres meses sin devolverme el dinero que prometieron,Reclamo,reembolso,crítica
Solicito la cancelación de mi contrato según las condiciones pactadas,Petición,cancelación|contrato,media
El servicio contratado no tiene las características prometidas,Queja,servicio,media
Llevo días sin poder acceder a mis documentos en la plataforma,Queja,acceso|soporte técnico,alta
El débito automático se realizó dos veces este mes,Reclamo,facturación|cobro,alta
El servicio presenta fallas intermitentes todo el día,Queja,soporte técnico,media
Quiero reclamar que llevo esperando mi pedido más de tres semanas sin respuesta,Reclamo,entrega,alta
Presento reclamo porque quiero que me devuelvan el pago que hice por error,Reclamo,reembolso|pago,media
El asesor me dio información incorrecta sobre el contrato,Queja,atención|información,media
La calidad del servicio ha bajado mucho en los últimos meses,Queja,atención,media
Quiero manifestar mi inconformidad ya que perdí información importante por un error del sistema,Queja,soporte técnico|seguridad,crítica
Me quejo porque las actualizaciones del sistema dañaron mis configuraciones,Queja,soporte técnico|aplicación,alta
Quiero habilitar la autenticación de dos factores,Petición,cuenta|seguridad,baja
Me descontaron más de lo acordado en el contrato,Reclamo,facturación|contrato,alta
Quiero que me devuelvan el pago que hice por error,Reclamo,reembolso|pago,media
Después de cancelar me siguen cobrando el servicio,Reclamo,facturación|cancelación,alta
"Cobro no reconocido en mi tarjeta, posible fraude",Reclamo,fraude|facturación,crítica
El reembolso prometido nunca se realizó en mi cuenta,Reclamo,reembolso,crítica
Por favor necesito que quiero agregar el servicio de soporte prioritario,Petición,soporte técnico|servicio,media
Quiero cambiar el titular de la cuenta a nombre de la empresa,Petición,cuenta|contrato,media
Presento reclamo porque mi pedido lleva 15 días y no ha llegado a mi dirección,Reclamo,entrega,alta
No puedo acceder a mi cuenta desde hace varios días,Queja,acceso|soporte técnico,alta
Solicito cotización para el plan de 50 usuarios,Petición,información|planes,baja
Me quejo porque nadie se hace responsable de mi caso hace más de dos semanas,Queja,atención|soporte técnico,alta
Es inaceptable que lleve un mes sin acceso a mi cuenta,Queja,acceso,crítica
Me aplicaron penalización que no está en el contrato,Reclamo,facturación|contrato,alta
